Contig,Img-mer,CDS,Start,End,.,Strand,0,ID
HCP21_5716,img_mer_v340,CDS,41,313,.,-,0
HCP21_5491,img_mer_v340,CDS,232,309,.,-,0
HCP21_5089,img_mer_v340,CDS,81,530,.,+,0
HCP21_5196,img_mer_v340,CDS,1,312,.,+,0
HCP21_6312,img_mer_v340,CDS,89,592,.,-,0
HCP21_10684,img_mer_v340,CDS,77,361,.,+,0
HCP21_9072,img_mer_v340,CDS,3,320,.,+,0
HCP21_3159,img_mer_v340,CDS,58,879,.,-,0
HCP21_3188,img_mer_v340,CDS,19,474,.,+,0
HCP21_6792,img_mer_v340,CDS,2,718,.,+,0
HCP21_267_,img_mer_v340,CDS,253,312,.,+,0
HCP21_2940,img_mer_v340,CDS,1,159,.,-,0
HCP21_2940,img_mer_v340,CDS,192,371,.,-,0
HCP21_3816,img_mer_v340,CDS,12,347,.,+,0
HCP21_7879,img_mer_v340,CDS,19,315,.,-,0
HCP21_2284,img_mer_v340,CDS,3,320,.,-,0
HCP21_873_,img_mer_v340,CDS,3,296,.,+,0
HCP21_954_,img_mer_v340,CDS,2,382,.,-,0
HCP21_4103,img_mer_v340,CDS,2,454,.,+,0
HCP21_2_11864,img_mer_v340,CDS,90,191,.,+,0
HCP21_2_42524,img_mer_v340,CDS,1,111,.,+,0
HCP21_2_45524,img_mer_v340,CDS,1,126,.,+,0
HCP21_2_52024,img_mer_v340,CDS,2,178,.,+,0
HCP21_2_54024,img_mer_v340,CDS,2,208,.,+,0
HCP21_2_57910,img_mer_v340,CDS,3,100,.,-,0
HCP21_2_61910,img_mer_v340,CDS,4,120,.,+,0
HCP21_2_66910,img_mer_v340,CDS,3,173,.,-,0
HCP21_2_70053,img_mer_v340,CDS,1,102,.,+,0
HCP21_2_70553,img_mer_v340,CDS,3,104,.,-,0
HCP21_2_73553,img_mer_v340,CDS,3,109,.,-,0
HCP21_2_79053,img_mer_v340,CDS,73,171,.,-,0
HCP21_2_79553,img_mer_v340,CDS,2,180,.,-,0
HCP21_2_88207,img_mer_v340,CDS,6,125,.,-,0
HCP21_2_88707,img_mer_v340,CDS,28,132,.,-,0
HCP21_2_91707,img_mer_v340,CDS,2,180,.,-,0
